"rooms","property_type","area","floor","total_floors","predicted_price","furniture"
"3","0","78","1","9","9980000","1"
"3","0","63","5","5","7700000","1"
"1","0","30","2","5","3350000","1"
"1","0","33.5","4","5","4750000","1"
"2","0","48.2","3","5","6750000","1"
"3","0","100","1","4","12800000","1"
"1","0","18","4","4","2390000","1"
"1","0","19","3","5","2450000","1"
"1","0","30","5","16","4000000","0"
"2","0","42.7","2","4","4100000","1"
"2","0","41","4","5","4390000","0"
"1","1","33.47","11","12","4351100","0"
"1","0","30.4","3","5","4400000","0"
"1","0","33.7","3","5","4500000","1"
"1","1","37.29","7","12","4847700","0"
"1","1","37.29","9","12","4847700","0"
"1","1","37.29","8","12","4847700","0"
"1","1","37.29","11","12","4847700","0"
"1","1","37.29","11","12","4847700","0"
"1","0","33","1","5","5150000","1"
"1","0","34.3","3","5","5550000","1"
"3","0","50.7","2","2","5500000","1"
"1","0","32","4","5","5500000","1"
"1","1","43.61","10","12","5669300","0"
"1","1","43.61","9","12","5669300","0"
"1","1","43.61","8","12","5669300","0"
"1","1","43.61","11","12","5669300","0"
"1","1","43.61","11","12","5669300","0"
"1","1","43.61","8","12","5669300","0"
"2","0","49","5","5","5700000","1"
"1","1","33.05","14","16","5729562","0"
"2","0","44","5","5","5790000","1"
"1","1","32.96","2","16","5793721","0"
"1","0","42.2","1","12","5820000","0"
"1","1","34.62","2","16","5826417","0"
"3","0","60","2","5","5999000","0"
"1","1","32.97","5","16","5977296","0"
"1","1","33.07","2","16","5965365","0"
"3","0","52.8","3","4","5940000","1"
"2","1","46","12","16","6020000","0"
"2","0","45","5","5","6000000","1"
"1","0","30","7","9","6000000","0"
"1","1","46.39","10","12","6030700","0"
"1","1","46.39","12","12","6030700","0"
"1","1","46.39","10","12","6030700","0"
"1","1","46.39","12","12","6030700","0"
"1","1","46.39","9","12","6030700","0"
"1","1","46.39","7","12","6030700","0"
"1","1","46.39","11","12","6030700","0"
"1","1","46.39","8","12","6030700","0"
"1","1","33.11","2","10","6096312","0"
"1","1","33.05","16","16","6095279","0"
"1","1","32.96","6","16","6138602","0"
"1","1","33.75","2","10","6149385","0"
"1","1","33.35","6","14","6191027","0"
"1","1","32.96","10","16","6178549","0"
"1","1","31.31","16","16","6188640","0"
"1","1","33.35","4","14","6170817","0"
"1","1","33.75","5","10","6176655","0"
"1","1","34.52","9","16","6195546","0"
"1","1","32.79","6","12","6209606","0"
"1","1","34.52","11","16","6219951","0"
"1","1","33.75","4","10","6234603","0"
"1","1","33.35","14","14","6244920","0"
"1","1","35.96","16","16","6206728","0"
"1","1","32.79","8","12","6279153","0"
"1","1","35.45","6","8","6337396","0"
"1","1","33.61","8","14","6327553","0"
"1","1","32.6","10","12","6377766","0"
"1","1","37.63","12","16","6397980","0"
"1","1","33.61","12","14","6368288","0"
"1","1","32.6","8","12","6358010","0"
"2","0","48","2","5","6420000","1"
"3","0","48.1","5","5","6450000","1"
"1","1","36.13","5","8","6429767","0"
"1","1","33.67","9","16","6498680","0"
"2","0","45","4","5","6450000","1"
"1","1","35.34","16","16","6517614","0"
"1","1","37.06","4","16","6580299","0"
"3","0","50","4","5","6620000","1"
"1","1","36.89","7","8","6609728","0"
"1","1","37.06","12","16","6662646","0"
"1","1","37.63","6","16","6673906","0"
"1","1","36.95","3","10","6747365","0"
"1","1","36.95","6","10","6777221","0"
"1","1","38.81","6","8","6918464","0"
"1","1","37.17","8","16","6922689","0"
"1","1","36.03","3","16","6997854","0"
"1","1","38.34","9","16","7032169","0"
"1","1","34.37","15","16","7095480","0"
"2","0","51.1","5","5","7050000","1"
"3","0","58.8","3","5","7150000","1"
"2","1","59.68","12","12","7161600","0"
"2","1","59.68","12","12","7161600","0"
"2","1","59.68","11","12","7161600","0"
"2","1","59.68","10","12","7161600","0"
"2","1","59.68","11","12","7161600","0"
"3","1","79.62","1","16","7165800","0"
"1","1","37.66","15","16","7341063","0"
"1","1","39.31","10","16","7396687","0"
"2","1","60.33","4","16","7360260","0"
"2","1","60.33","5","16","7360260","0"
"2","1","60.33","6","16","7360260","0"
"2","0","62","4","5","7500000","1"
"3","1","85.84","1","16","7725600","0"
